Catalog Number,Species,Sex,Culmen,Bill (tip to nostril),Maxilla width,Mandible width,Bill height,Wing,Tail,Tarsus
IAvH-A-1942,Sporophila crassirostris,female,15.9,11.8,10,13.1,13.3,66.1,65.4,17.1
IAvH-A-5500,Sporophila crassirostris,female,14.6,9.6,8.3,11.4,11.9,62.9,57.1,16.5
IAvH-A-5501,Sporophila crassirostris,female,14.2,10.1,8.1,11.4,12.2,69.6,61.1,17.4
IAvH-A-14653,Sporophila crassirostris,male,15.1,10.4,9,11.3,12.2,67.5,68.9,17.1
IAvH-A-1164,Sporophila angolensis,male,13,8.7,7.9,10,10.2,52.7,52.6,15.1
IAvH-A-1178,Sporophila angolensis,male,12.2,8.6,7.6,9.4,9.8,58.2,52.9,15.4
IAvH-A-0704,Sporophila angolensis,male,13.2,8.3,7.5,8.9,10,54.3,51.5,15.2
IAvH-A-3377,Sporophila angolensis,female,12.8,8.8,7.6,9.5,10.3,55.7,51.3,15.3
IAvH-A-3393,Sporophila angolensis,female,12.4,8.4,7.5,9.5,10.2,54.2,54.1,15.4
IAvH-A-14790,Sporophila angolensis,female,12.4,8.3,7.5,9.2,10.4,54.4,54.5,15.1
IAvH-A-12027,Sporophila angolensis,female,13,8.9,7.9,9.9,10.2,53,53.2,15.4
IAvH-A-17495,Sporophila angolensis,female,13.3,9.1,8.4,10,11,52.2,54.1,15.5
IAvH-A-14791,Sporophila angolensis,male,13.1,8.9,8.2,9.5,10.8,56.1,60.1,15.4
IAvH-A-16113,Sporophila angolensis,male,13.2,8.4,7.9,9.1,10.7,54.8,58.2,15.5
IAvH-A-3402,Sporophila funerea,male,13.4,9.8,8.2,10,11.2,56.9,47.2,15.8
IAvH-A-3383,Sporophila funerea,female,12.6,8.8,7.4,9.6,10,54.1,50.6,15.9
IAvH-A-3396,Sporophila funerea,female,12.5,8.2,7.4,8.9,9.8,54.1,48.9,15.7
IAvH-A-11962,Sporophila funerea,female,12.5,8.6,7.5,9.5,10.2,58,56.1,15.2
IAvH-A-3276,Sporophila funerea,female,12.5,8.7,7.4,9.2,9.8,54.2,45.4,15.6
IAvH-A-16835,Sporophila funerea,female,13,8.9,7.4,9.9,9.8,52.8,50.4,15.4
IAvH-A-5268,Sporophila funerea,male,12.3,8.2,7.4,9.6,10.4,55,51.9,15.4
IAvH-A-12023,Sporophila funerea,male,13.3,9.1,7.8,9.8,10.6,57,48,15.9
IAvH-A-13963,Sporophila funerea,male,13.1,8.6,7.2,9.5,9.9,56.1,59,15.1
IAvH-A-16575,Sporophila funerea,male,12.8,8.2,7.1,9.4,10.2,53.1,49,15.2
FMNH-297835,Sporophila maximiliani,male,16.1,12.3,10.2,14.3,13.2,74,55,18.3
FMNH-297836,Sporophila maximiliani,female,17.3,11.9,10.3,14.5,14.5,75,57,18.5
FMNH-284993,Sporophila crassirostris,female,13.7,9.26,8.4,11.2,12.2,63.2,51.7,16.14
FMNH-284994,Sporophila crassirostris,female,14.7,9.65,8.5,12.6,12.2,63.9,51.7,16.27
FMNH-334585,Sporophila atrirostris,male,15.8,10.43,9.55,12.62,14.38,72.5,60.5,16.44
FMNH-339668,Sporophila maximiliani,male,16.24,12.16,10.7,14.54,16.34,75.3,65.3,17.06
